data,indicador,ano_ref,mediana
2021-12-09,Selic,2026,7.0
2021-12-13,Selic,2026,7.0
2021-12-20,Selic,2026,7.0
2021-12-27,Selic,2026,7.0
2021-12-31,Câmbio,2026,5.7771
2022-01-03,Câmbio,2026,5.6
2022-01-03,Selic,2026,7.0
2022-01-10,Câmbio,2026,5.575
2022-01-10,Selic,2026,7.0
2022-01-11,IPCA,2026,3.0
2022-01-17,Câmbio,2026,5.5
2022-01-17,IPCA,2026,3.0
2022-01-17,Selic,2026,7.0
2022-01-24,Câmbio,2026,5.4141
2022-01-24,IPCA,2026,3.0
2022-01-24,Selic,2026,7.0
2022-01-31,Câmbio,2026,5.4141
2022-01-31,IPCA,2026,3.0
2022-01-31,Selic,2026,7.0
2022-02-07,Câmbio,2026,5.4141
2022-02-07,IPCA,2026,3.0
2022-02-07,Selic,2026,7.0
2022-02-14,Câmbio,2026,5.4
2022-02-14,IPCA,2026,3.0
2022-02-14,Selic,2026,7.0
2022-02-21,Câmbio,2026,5.37
2022-02-21,IPCA,2026,3.0
2022-02-21,Selic,2026,7.0
2022-03-02,Câmbio,2026,5.345
2022-03-02,IPCA,2026,3.0
2022-03-02,Selic,2026,7.0
2022-03-04,PIB Total,2026,2.1
2022-03-07,Câmbio,2026,5.3
2022-03-07,IPCA,2026,3.0
2022-03-07,PIB Total,2026,2.0
2022-03-07,Selic,2026,7.0
2022-03-14,Câmbio,2026,5.2
2022-03-14,IPCA,2026,3.0
2022-03-14,PIB Total,2026,2.0
2022-03-14,Selic,2026,7.0
2022-03-21,Câmbio,2026,5.2
2022-03-21,IPCA,2026,3.0
2022-03-21,PIB Total,2026,2.0
2022-03-21,Selic,2026,7.0
2022-03-28,Câmbio,2026,5.2
2022-03-28,IPCA,2026,3.0
2022-03-28,PIB Total,2026,2.0
2022-03-28,Selic,2026,7.0
2022-04-04,Câmbio,2026,5.2
2022-04-04,IPCA,2026,3.0
2022-04-04,PIB Total,2026,2.0
2022-04-04,Selic,2026,7.0
2022-04-11,Câmbio,2026,5.2
2022-04-11,IPCA,2026,3.0
2022-04-11,PIB Total,2026,2.0
2022-04-11,Selic,2026,7.0
2022-04-18,Câmbio,2026,5.2
2022-04-18,IPCA,2026,3.0
2022-04-18,PIB Total,2026,2.0
2022-04-18,Selic,2026,7.0
2022-04-25,Câmbio,2026,5.105
2022-04-25,IPCA,2026,3.0
2022-04-25,PIB Total,2026,2.0
2022-04-25,Selic,2026,7.0
2022-05-02,Câmbio,2026,5.08
2022-05-02,IPCA,2026,3.0
2022-05-02,PIB Total,2026,2.0
2022-05-02,Selic,2026,7.0
2022-05-09,Câmbio,2026,5.065
2022-05-09,IPCA,2026,3.0
2022-05-09,PIB Total,2026,2.0
2022-05-09,Selic,2026,7.0
2022-05-16,Câmbio,2026,5.08
2022-05-16,IPCA,2026,3.0
2022-05-16,PIB Total,2026,2.0
2022-05-16,Selic,2026,7.0
2022-05-23,Câmbio,2026,5.11
2022-05-23,IPCA,2026,3.0
2022-05-23,PIB Total,2026,2.0
2022-05-23,Selic,2026,7.0
2022-05-30,Câmbio,2026,5.15
2022-05-30,IPCA,2026,3.0
2022-05-30,PIB Total,2026,2.0
2022-05-30,Selic,2026,7.0
2022-06-06,Câmbio,2026,5.15
2022-06-06,IPCA,2026,3.0
2022-06-06,PIB Total,2026,2.0
2022-06-06,Selic,2026,7.0
2022-06-13,Câmbio,2026,5.185
2022-06-13,IPCA,2026,3.0
2022-06-13,PIB Total,2026,2.0
2022-06-13,Selic,2026,7.5
2022-06-20,Câmbio,2026,5.195
2022-06-20,IPCA,2026,3.0
2022-06-20,PIB Total,2026,2.0
2022-06-20,Selic,2026,7.375
2022-06-27,Câmbio,2026,5.195
2022-06-27,IPCA,2026,3.0
2022-06-27,PIB Total,2026,2.0
2022-06-27,Selic,2026,7.5
2022-07-04,Câmbio,2026,5.2
2022-07-04,IPCA,2026,3.0
2022-07-04,PIB Total,2026,2.0
2022-07-04,Selic,2026,7.5
2022-07-11,Câmbio,2026,5.2
2022-07-11,IPCA,2026,3.0
2022-07-11,PIB Total,2026,2.0
2022-07-11,Selic,2026,7.5
2022-07-18,Câmbio,2026,5.2
2022-07-18,IPCA,2026,3.0001
2022-07-18,PIB Total,2026,2.0
2022-07-18,Selic,2026,7.5
2022-07-25,Câmbio,2026,5.2
2022-07-25,IPCA,2026,3.0
2022-07-25,PIB Total,2026,2.0
2022-07-25,Selic,2026,7.5
2022-08-01,Câmbio,2026,5.2
2022-08-01,IPCA,2026,3.0
2022-08-01,PIB Total,2026,2.0
2022-08-01,Selic,2026,7.5
2022-08-08,Câmbio,2026,5.2
2022-08-08,IPCA,2026,3.0
2022-08-08,PIB Total,2026,2.0
2022-08-08,Selic,2026,7.5
2022-08-15,Câmbio,2026,5.2
2022-08-15,IPCA,2026,3.0
2022-08-15,PIB Total,2026,2.0
2022-08-15,Selic,2026,7.5
2022-08-22,Câmbio,2026,5.2
2022-08-22,IPCA,2026,3.0
2022-08-22,PIB Total,2026,2.0
2022-08-22,Selic,2026,7.5
2022-08-29,Câmbio,2026,5.2
2022-08-29,IPCA,2026,3.0
2022-08-29,PIB Total,2026,2.0
2022-08-29,Selic,2026,7.5
2022-09-05,Câmbio,2026,5.2
2022-09-05,IPCA,2026,3.0
2022-09-05,PIB Total,2026,2.0
2022-09-05,Selic,2026,7.5
2022-09-12,Câmbio,2026,5.2328
2022-09-12,IPCA,2026,3.0
2022-09-12,PIB Total,2026,2.0
2022-09-12,Selic,2026,7.5
2022-09-19,Câmbio,2026,5.2
2022-09-19,IPCA,2026,3.0
2022-09-19,PIB Total,2026,2.0
2022-09-19,Selic,2026,7.5
2022-09-26,Câmbio,2026,5.2
2022-09-26,IPCA,2026,3.0
2022-09-26,PIB Total,2026,2.0
2022-09-26,Selic,2026,7.5
2022-10-03,Câmbio,2026,5.2
2022-10-03,IPCA,2026,3.0
2022-10-03,PIB Total,2026,2.0
2022-10-03,Selic,2026,7.5
2022-10-10,Câmbio,2026,5.2
2022-10-10,IPCA,2026,3.0
2022-10-10,PIB Total,2026,2.0
2022-10-10,Selic,2026,7.5
2022-10-17,Câmbio,2026,5.2
2022-10-17,IPCA,2026,3.0
2022-10-17,PIB Total,2026,2.0
2022-10-17,Selic,2026,7.5
2022-10-24,Câmbio,2026,5.2
2022-10-24,IPCA,2026,3.0
2022-10-24,PIB Total,2026,2.0
2022-10-24,Selic,2026,7.625
2022-10-31,Câmbio,2026,5.2
2022-10-31,IPCA,2026,3.0
2022-10-31,PIB Total,2026,2.0
2022-10-31,Selic,2026,7.75
2022-11-07,Câmbio,2026,5.2
2022-11-07,IPCA,2026,3.0
2022-11-07,PIB Total,2026,2.0
2022-11-07,Selic,2026,7.75
2022-11-14,Câmbio,2026,5.2163
2022-11-14,IPCA,2026,3.0
2022-11-14,PIB Total,2026,2.0
2022-11-14,Selic,2026,8.0
2022-11-21,Câmbio,2026,5.3
2022-11-21,IPCA,2026,3.0
2022-11-21,PIB Total,2026,2.0
2022-11-21,Selic,2026,8.0
2022-11-28,Câmbio,2026,5.3
2022-11-28,IPCA,2026,3.0
2022-11-28,PIB Total,2026,2.0
2022-11-28,Selic,2026,8.0
2022-12-05,Câmbio,2026,5.3
2022-12-05,IPCA,2026,3.0
2022-12-05,PIB Total,2026,2.0
2022-12-05,Selic,2026,8.0
2022-12-08,Selic,2027,8.25
2022-12-12,Câmbio,2026,5.3
2022-12-12,IPCA,2026,3.0
2022-12-12,PIB Total,2026,2.0
2022-12-12,Selic,2026,8.0
2022-12-12,Selic,2027,8.0
2022-12-19,Câmbio,2026,5.3
2022-12-19,IPCA,2026,3.0
2022-12-19,PIB Total,2026,2.0
2022-12-19,Selic,2026,8.0
2022-12-19,Selic,2027,8.0
2022-12-26,Câmbio,2026,5.325
2022-12-26,IPCA,2026,3.0256
2022-12-26,PIB Total,2026,2.0
2022-12-26,Selic,2026,8.0
2022-12-26,Selic,2027,8.0
2022-12-30,Câmbio,2027,5.0
2023-01-02,Câmbio,2026,5.325
2023-01-02,Câmbio,2027,5.0
2023-01-02,IPCA,2026,3.175
2023-01-02,PIB Total,2026,2.0
2023-01-02,Selic,2026,8.0
2023-01-02,Selic,2027,8.0
2023-01-09,Câmbio,2026,5.325
2023-01-09,Câmbio,2027,5.0
2023-01-09,IPCA,2026,3.22
2023-01-09,PIB Total,2026,2.0
2023-01-09,Selic,2026,8.0
2023-01-09,Selic,2027,8.0
2023-01-10,IPCA,2027,3.25
2023-01-16,Câmbio,2026,5.325
2023-01-16,Câmbio,2027,5.2251
2023-01-16,IPCA,2026,3.25
2023-01-16,IPCA,2027,3.0
2023-01-16,PIB Total,2026,2.0
2023-01-16,Selic,2026,8.0
2023-01-16,Selic,2027,8.0
2023-01-23,Câmbio,2026,5.3
