data,reuniao,mediana
2004-11-18,R1/2006,15.5
2004-11-22,R1/2006,15.5
2004-11-29,R1/2006,15.5
2004-12-06,R1/2006,15.5
2004-12-13,R1/2006,15.5
2004-12-20,R1/2006,15.5
2004-12-27,R1/2006,15.5
2005-01-03,R1/2006,15.75
2005-01-10,R1/2006,15.75
2005-01-17,R1/2006,16.0
2005-01-20,R2/2006,15.5
2005-01-24,R1/2006,16.0
2005-01-24,R2/2006,16.0
2005-01-31,R1/2006,16.5
2005-01-31,R2/2006,16.2
2005-02-09,R1/2006,16.5
2005-02-09,R2/2006,16.0
2005-02-14,R1/2006,16.5
2005-02-14,R2/2006,16.15
2005-02-17,R3/2006,15.5
2005-02-21,R1/2006,16.5
2005-02-21,R2/2006,16.25
2005-02-21,R3/2006,16.0
2005-02-28,R1/2006,16.75
2005-02-28,R2/2006,16.25
2005-02-28,R3/2006,16.0
2005-03-07,R1/2006,16.75
2005-03-07,R2/2006,16.25
2005-03-07,R3/2006,16.0
2005-03-14,R1/2006,17.0
2005-03-14,R2/2006,16.38
2005-03-14,R3/2006,16.0
2005-03-21,R1/2006,17.0
2005-03-21,R2/2006,16.5
2005-03-21,R3/2006,16.0
2005-03-28,R1/2006,17.25
2005-03-28,R2/2006,16.5
2005-03-28,R3/2006,16.25
2005-04-04,R1/2006,17.25
2005-04-04,R2/2006,16.5
2005-04-04,R3/2006,16.13
2005-04-11,R1/2006,17.25
2005-04-11,R2/2006,16.5
2005-04-11,R3/2006,16.0
2005-04-18,R1/2006,17.5
2005-04-18,R2/2006,16.5
2005-04-18,R3/2006,16.38
2005-04-22,R4/2006,16.25
2005-04-25,R1/2006,17.5
2005-04-25,R2/2006,16.5
2005-04-25,R3/2006,16.25
2005-04-25,R4/2006,16.0
2005-05-02,R1/2006,17.5
2005-05-02,R2/2006,17.0
2005-05-02,R3/2006,16.5
2005-05-02,R4/2006,16.0
2005-05-09,R1/2006,17.5
2005-05-09,R2/2006,16.88
2005-05-09,R3/2006,16.63
2005-05-09,R4/2006,16.0
2005-05-16,R1/2006,17.5
2005-05-16,R2/2006,17.0
2005-05-16,R3/2006,16.5
2005-05-16,R4/2006,16.0
2005-05-19,R5/2006,16.0
2005-05-23,R1/2006,17.63
2005-05-23,R2/2006,17.0
2005-05-23,R3/2006,16.5
2005-05-23,R4/2006,16.1
2005-05-23,R5/2006,16.5
2005-05-30,R1/2006,17.75
2005-05-30,R2/2006,17.0
2005-05-30,R3/2006,16.75
2005-05-30,R4/2006,16.25
2005-05-30,R5/2006,16.25
2005-06-06,R1/2006,17.75
2005-06-06,R2/2006,17.0
2005-06-06,R3/2006,17.0
2005-06-06,R4/2006,16.5
2005-06-06,R5/2006,16.0
2005-06-13,R1/2006,17.75
2005-06-13,R2/2006,17.0
2005-06-13,R3/2006,16.75
2005-06-13,R4/2006,16.5
2005-06-13,R5/2006,16.0
2005-06-16,R6/2006,16.0
2005-06-20,R1/2006,17.75
2005-06-20,R2/2006,17.0
2005-06-20,R3/2006,16.75
2005-06-20,R4/2006,16.5
2005-06-20,R5/2006,16.13
2005-06-20,R6/2006,16.0
2005-06-27,R1/2006,17.63
2005-06-27,R2/2006,17.0
2005-06-27,R3/2006,16.63
2005-06-27,R4/2006,16.5
2005-06-27,R5/2006,16.25
2005-06-27,R6/2006,16.25
2005-07-04,R1/2006,17.5
2005-07-04,R2/2006,17.0
2005-07-04,R3/2006,16.5
2005-07-04,R4/2006,16.5
2005-07-04,R5/2006,16.25
2005-07-04,R6/2006,16.25
2005-07-11,R1/2006,17.5
2005-07-11,R2/2006,17.0
2005-07-11,R3/2006,16.75
2005-07-11,R4/2006,16.5
2005-07-11,R5/2006,16.38
2005-07-11,R6/2006,16.25
2005-07-18,R1/2006,17.5
2005-07-18,R2/2006,17.0
2005-07-18,R3/2006,16.63
2005-07-18,R4/2006,16.5
2005-07-18,R5/2006,16.25
2005-07-18,R6/2006,16.0
2005-07-25,R1/2006,17.5
2005-07-25,R2/2006,17.0
2005-07-25,R3/2006,16.75
2005-07-25,R4/2006,16.5
2005-07-25,R5/2006,16.25
2005-07-25,R6/2006,16.0
2005-08-01,R1/2006,17.5
2005-08-01,R2/2006,17.0
